,location,bhk,total_sqft,bath,price,encoded_loc
1867,Amruthahalli,2,924.0,2.0,45.0,14
1868,Kaikondrahalli,2,1000.0,2.0,30.0,121
1869,Bisuvanahalli,2,845.0,2.0,29.0,46
1870,Kanakpura Road,2,700.0,2.0,35.0,128
1871,Kothanur,2,1187.0,2.0,58.0,147
1872,Kaggadasapura,3,1625.0,3.0,55.0,119
1873,Devarachikkanahalli,2,1200.0,2.0,83.0,66
1874,others,2,1452.55,2.0,110.0,232
1875,others,3,2357.0,3.0,151.0,232
1876,Kaval Byrasandra,2,1200.0,2.0,49.5,134
1877,Budigere,2,1139.0,2.0,56.85,52
1878,Kanakpura Road,3,1660.0,3.0,75.0,128
1879,Somasundara Palya,2,1448.0,2.0,68.0,204
1880,Kadugodi,3,1762.0,3.0,110.0,118
1881,Kaggadasapura,2,1105.0,2.0,38.65,119
1882,Yelahanka,3,1825.0,3.0,105.0,228
1883,Thanisandra,2,1185.0,2.0,43.0,211
1884,Electronic City Phase II,3,1320.0,2.0,38.12,75
1885,Hulimavu,2,1058.0,2.0,48.0,105
1886,Bellandur,2,1220.0,2.0,60.0,40
1887,Old Madras Road,2,1200.0,2.0,72.0,178
1888,Kengeri,3,1160.0,2.0,40.6,136
1889,others,3,1411.0,3.0,91.72,232
1890,Bannerghatta Road,3,1550.0,3.0,78.0,34
1891,Green Glen Layout,4,3250.0,4.0,230.0,83
1892,Haralur Road,3,2475.0,4.0,130.0,90
1893,7th Phase JP Nagar,4,2503.0,4.0,188.0,6
1894,Marathahalli,4,2524.0,5.0,190.0,162
1895,Kaggadasapura,2,1063.0,2.0,42.0,119
1896,Kanakpura Road,2,1077.0,2.0,37.7,128
1897,others,2,1200.0,3.0,44.0,232
1898,Hosakerehalli,4,1500.0,3.0,70.0,102
1899,Jalahalli,2,1045.0,2.0,76.77,112
1900,Kanakapura,3,1290.0,2.0,45.15,127
1901,Hoodi,2,1400.0,2.0,78.0,97
1902,Begur Road,3,1600.0,3.0,58.14,39
1903,Nagavara,3,1545.0,2.0,58.0,172
1904,Sarjapur  Road,3,1680.0,3.0,112.0,196
1905,others,2,1350.0,2.0,67.5,232
1906,Gottigere,2,950.0,2.0,38.0,82
1907,Thanisandra,2,1050.0,2.0,45.0,211
1908,Banashankari Stage V,3,1305.0,2.0,49.0,29
1909,others,3,1100.0,3.0,78.0,232
1910,Thanisandra,6,3500.0,5.0,160.0,211
1911,Begur Road,3,1634.0,3.0,83.33,39
1912,Prithvi Layout,2,1352.0,2.0,85.0,183
1913,Balagere,2,1145.0,2.0,65.0,25
1914,others,2,1240.0,2.0,43.79,232
1915,Bommasandra Industrial Area,2,1020.0,2.0,39.0,49
1916,Raja Rajeshwari Nagar,2,1168.0,2.0,61.0,186
1917,Electronic City Phase II,2,1205.0,2.0,75.0,75
1918,CV Raman Nagar,2,1028.0,2.0,49.0,53
1919,others,2,1175.0,2.0,48.27,232
1920,Pai Layout,3,1550.0,2.0,90.0,180
1921,Hoodi,5,2400.0,5.0,160.0,97
1922,Yelahanka,3,1603.0,3.0,96.0,228
1923,Marathahalli,3,1350.0,3.0,72.0,162
1924,KR Puram,1,714.0,1.0,28.0,116
1925,Whitefield,2,1215.0,2.0,65.0,226
1926,Malleshpalya,3,1405.0,2.0,77.0,160
1927,KR Puram,2,1142.0,2.0,51.0,116
1928,others,4,4000.0,4.0,170.0,232
1929,Whitefield,3,1870.0,3.0,90.0,226
1930,Subramanyapura,2,1313.0,2.0,73.0,207
1931,others,3,1945.0,3.0,120.0,232
1932,Thanisandra,3,1573.0,3.0,95.0,211
1933,Sarjapur  Road,2,1255.0,2.0,92.0,196
1934,Benson Town,4,1400.0,3.0,91.15,41
1935,Kannamangala,2,1235.0,2.0,43.63,129
1936,Sarjapur  Road,3,1380.0,2.0,52.0,196
1937,others,3,1465.0,2.0,74.72,232
1938,Thigalarapalya,2,1418.0,2.0,103.0,212
1939,Anekal,1,351.0,1.0,16.0,17
1940,Uttarahalli,2,1279.0,2.0,48.0,218
1941,Uttarahalli,3,1845.0,2.0,68.27,218
1942,others,3,1360.0,2.0,59.27,232
1943,others,3,1150.0,2.0,75.0,232
1944,Whitefield,2,1260.0,2.0,49.5,226
1945,others,3,1200.0,3.0,74.0,232
1946,Dasanapura,2,965.0,2.0,42.5,63
1947,Hoodi,3,1350.0,2.0,48.0,97
1948,Bhoganhalli,2,1447.0,2.0,75.97,43
1949,others,3,1229.0,3.0,86.03,232
1950,Kudlu,2,1027.0,2.0,43.0,148
1951,Gottigere,2,1153.0,2.0,48.5,82
1952,Malleshpalya,2,1065.0,2.0,50.0,160
1953,others,2,1030.0,2.0,61.0,232
1954,Mallasandra,2,1340.0,2.0,61.0,159
1955,others,1,600.0,1.0,32.0,232
1956,Begur Road,3,1410.0,2.0,44.42,39
1957,Varthur,2,1055.0,2.0,45.35,219
1958,Yelahanka,2,1304.0,2.0,79.0,228
1959,Kammasandra,2,990.0,2.0,31.5,126
1960,7th Phase JP Nagar,2,1035.0,2.0,39.33,6
1961,Sonnenahalli,2,1120.0,2.0,43.0,206
1962,Haralur Road,2,1300.0,2.0,73.0,90
1963,Tumkur Road,2,1239.0,2.0,82.0,216
1964,Hosa Road,2,1365.0,2.0,92.0,101
1965,Subramanyapura,3,1130.0,2.0,45.19,207
1966,Green Glen Layout,3,1776.42,3.0,105.0,83
1967,others,2,1107.0,2.0,33.0,232
1968,Nagavara,3,2319.0,3.0,180.0,172
1969,others,3,1520.0,3.0,80.0,232
1970,Kannamangala,3,1536.0,3.0,89.0,129
1971,others,4,3000.0,4.0,240.0,232
1972,others,2,1050.0,2.0,38.0,232
1973,Hoodi,3,1850.0,3.0,146.0,97
1974,Billekahalli,2,1112.0,2.0,62.0,44
1975,Marathahalli,3,1535.0,3.0,72.5,162
1976,Kanakpura Road,2,1050.0,2.0,35.0,128
1977,7th Phase JP Nagar,3,1250.0,3.0,65.0,6
1978,Kalena Agrahara,2,1187.0,2.0,52.0,122
1979,9th Phase JP Nagar,2,1164.0,2.0,56.0,8
1980,Electronic City Phase II,3,1395.0,2.0,62.78,75
1981,Arekere,3,2072.0,3.0,108.0,20
1982,Kanakpura Road,3,1450.0,3.0,60.91,128
1983,Bannerghatta Road,3,1550.0,3.0,82.0,34
1984,others,2,1315.0,2.0,90.0,232
1985,Hebbal,4,3067.0,4.0,230.0,92
1986,others,2,1210.0,2.0,72.0,232
1987,Bisuvanahalli,3,1075.0,2.0,47.0,46
1988,others,3,1215.0,3.0,42.2,232
1989,Kaggadasapura,3,1470.0,2.0,75.0,119
1990,others,4,30000.0,4.0,2100.0,232
1991,Hosur Road,3,1590.0,2.0,125.0,104
1992,Kanakpura Road,2,1050.0,2.0,36.75,128
1993,Raja Rajeshwari Nagar,2,1306.0,2.0,55.91,186
1994,others,3,1445.0,3.0,64.0,232
1995,Sarjapur  Road,3,1220.0,3.0,58.0,196
1996,Sarjapur,4,3190.0,3.0,160.0,195
1997,Ramagondanahalli,2,1215.0,2.0,51.26,189
1998,Budigere,3,1920.0,2.0,88.0,52
1999,Dodda Nekkundi,2,1390.0,2.0,60.0,67
2000,Hoodi,2,1196.0,2.0,71.74,97
2001,Bannerghatta Road,3,1550.0,2.0,75.0,34
2002,Thigalarapalya,2,1418.0,2.0,101.0,212
2003,Varthur Road,3,1655.0,3.0,115.0,220
2004,KR Puram,2,1115.0,2.0,33.45,116
2005,others,2,1170.0,2.0,68.0,232
2006,Anekal,2,1035.0,2.0,38.3,17
2007,Singasandra,3,1306.0,2.0,58.0,203
2008,Kengeri,2,750.0,2.0,22.0,136
2009,Thanisandra,3,1917.0,3.0,122.0,211
2010,Kaggadasapura,3,1615.0,3.0,58.0,119
2011,Marathahalli,2,1071.0,2.0,52.25,162
2012,5th Phase JP Nagar,3,1400.0,2.0,88.0,4
2013,Tumkur Road,2,1246.0,2.0,82.0,216
2014,Sarjapur,2,1215.0,2.0,40.0,195
2015,Munnekollal,2,1200.0,2.0,49.5,165
2016,Kodigehaali,2,1200.0,2.0,60.0,140
2017,Kaval Byrasandra,2,945.0,2.0,50.0,134
2018,Hormavu,2,1175.0,2.0,52.0,100
2019,Whitefield,2,920.0,2.0,63.0,226
2020,others,2,1600.0,2.0,110.0,232
2021,others,2,955.0,1.0,34.01,232
2022,Ardendale,3,1750.0,3.0,100.0,19
2023,Uttarahalli,3,1425.0,2.0,64.0,218
2024,Whitefield,2,1165.0,2.0,40.5,226
2025,Kaggadasapura,2,1050.0,2.0,48.0,119
2026,others,3,1370.0,2.0,75.0,232
2027,Electronic City,3,1374.0,2.0,72.0,74
2028,Harlur,3,1754.0,3.0,124.0,91
2029,Kothanur,3,1847.0,3.0,110.0,147
2030,Ambedkar Nagar,3,1850.0,4.0,139.0,13
2031,Chikka Tirupathi,3,3297.0,3.0,135.0,57
2032,others,2,1187.0,2.0,45.0,232
2033,Bommasandra Industrial Area,3,1400.0,2.0,40.44,49
2034,Doddaballapur,3,3000.0,2.0,120.0,68
2035,Thanisandra,1,693.0,1.0,34.3,211
2036,KR Puram,2,1021.0,2.0,48.0,116
2037,Thigalarapalya,2,1165.0,2.0,95.0,212
2038,Horamavu Agara,3,1756.0,3.0,92.0,98
2039,Bharathi Nagar,3,1739.0,3.0,105.0,42
2040,Varthur,2,1280.0,2.0,65.0,219
2041,Marathahalli,2,1215.0,2.0,58.86,162
2042,Munnekollal,2,950.0,2.0,46.5,165
2043,Kengeri,3,1082.0,2.0,49.0,136
2044,Devanahalli,2,1080.0,2.0,53.35,65
2045,Arekere,2,1100.0,2.0,55.0,20
2046,Ardendale,4,3200.0,4.0,205.0,19
2047,Sarjapur  Road,2,1311.0,2.0,78.0,196
2048,Raja Rajeshwari Nagar,3,1608.0,3.0,67.98,186
2049,Begur Road,2,1160.0,2.0,36.0,39
2050,Whitefield,2,1170.0,2.0,71.0,226
2051,Kengeri,2,1155.0,2.0,40.6,136
2052,Hebbal,3,1255.0,2.0,77.68,92
2053,Rayasandra,2,1065.0,2.0,44.95,191
2054,Neeladri Nagar,1,674.0,1.0,21.0,174
2055,Ambedkar Nagar,3,1936.0,4.0,126.0,13
2056,others,2,1100.0,2.0,38.45,232
2057,Ramagondanahalli,3,2257.0,4.0,157.0,189
2058,Nagarbhavi,2,1055.0,2.0,55.0,170
2059,Raja Rajeshwari Nagar,3,1530.0,3.0,51.87,186
2060,others,3,1700.0,3.0,97.0,232
2061,Raja Rajeshwari Nagar,3,1575.0,2.0,78.0,186
2062,Rajiv Nagar,2,1263.0,2.0,93.32,188
2063,KR Puram,3,1564.9842423276207,3.0,69.315,116
2064,Kengeri Satellite Town,2,1043.0,2.0,65.0,137
2065,Hennur,2,1255.0,2.0,53.5,95
2066,JP Nagar,2,1564.9842423276207,2.0,93.865,110
2067,Yelahanka,3,1550.0,3.0,120.0,228
2068,Sarjapur  Road,3,1220.0,3.0,56.0,196
2069,others,3,1360.0,3.0,55.0,232
2070,others,2,1100.0,2.0,75.0,232
2071,8th Phase JP Nagar,3,1455.0,3.0,73.31,7
2072,KR Puram,2,1035.0,2.0,40.5,116
2073,Harlur,2,1152.0,2.0,69.0,91
2074,Bellandur,2,1299.0,2.0,82.0,40
2075,Rachenahalli,2,1050.0,2.0,52.5,185
2076,Pai Layout,2,1050.0,2.0,40.0,180
2077,Vittasandra,2,1246.0,2.0,67.4,225
2078,others,3,1929.0,3.0,115.0,232
2079,Hennur,2,1285.0,2.0,60.0,95
2080,Margondanahalli,3,1200.0,2.0,65.0,163
2081,others,4,3161.0,4.0,214.0,232
2082,Sompura,3,1025.0,2.0,37.0,205
2083,Malleshwaram,2,1124.0,3.0,80.0,161
2084,Balagere,2,1012.0,2.0,54.59,25
2085,8th Phase JP Nagar,2,871.0,2.0,55.0,7
2086,others,2,1020.0,2.0,40.0,232
2087,Rachenahalli,3,1550.0,3.0,73.5,185
2088,Akshaya Nagar,3,1410.0,2.0,80.0,11
2089,Chikka Tirupathi,4,3500.0,5.0,150.0,57
2090,Whitefield,2,1118.0,2.0,75.0,226
2091,Thanisandra,2,1098.0,2.0,68.0,211
2092,Kanakapura,2,1130.0,2.0,45.2,127
2093,Sarjapur  Road,2,1145.0,2.0,75.0,196
2094,others,2,1051.0,2.0,33.0,232
2095,Marathahalli,2,1102.0,2.0,53.67,162
2096,Hebbal,2,823.0,2.0,50.63,92
2097,Abbigere,2,880.0,2.0,35.0,10
2098,Budigere,3,1991.0,4.0,100.0,52
2099,TC Palaya,3,1100.0,3.0,50.0,209
2100,Gubbalala,3,1745.0,3.0,115.0,84
2101,others,2,1100.0,2.0,70.0,232
2102,5th Phase JP Nagar,2,1450.0,2.0,58.0,4
2103,Singasandra,4,3366.0,4.0,120.0,203
2104,Sahakara Nagar,2,1150.0,2.0,54.0,192
2105,Bommanahalli,2,1090.0,3.0,44.0,47
2106,Kaggadasapura,2,1132.0,2.0,42.0,119
2107,Hulimavu,2,1375.0,2.0,80.0,105
2108,Thanisandra,1,760.0,1.0,50.3,211
2109,Kaggadasapura,2,1180.0,2.0,65.0,119
2110,Jigani,2,918.0,2.0,45.0,114
2111,Margondanahalli,2,1200.0,1.0,53.0,163
2112,Ardendale,3,1728.0,3.0,95.0,19
2113,BTM 2nd Stage,2,1200.0,2.0,80.0,22
2114,6th Phase JP Nagar,2,1280.0,2.0,56.0,5
2115,others,3,1455.0,2.0,56.0,232
2116,Rachenahalli,1,440.0,1.0,28.0,185
2117,Kanakpura Road,3,1500.0,3.0,97.0,128
2118,Whitefield,3,1800.0,3.0,110.0,226
2119,Mysore Road,3,1525.0,3.0,96.0,167
2120,Rachenahalli,2,1204.0,2.0,38.5,185
2121,Old Madras Road,2,1225.0,2.0,53.55,178
2122,Bannerghatta Road,3,1650.0,3.0,122.0,34
2123,others,4,4200.0,4.0,255.0,232
2124,others,2,1200.0,2.0,55.0,232
2125,9th Phase JP Nagar,2,1005.0,2.0,42.0,8
2126,Whitefield,3,1562.0,3.0,103.0,226
2127,Devanahalli,4,5000.0,5.0,395.0,65
2128,Ramamurthy Nagar,2,1200.0,2.0,42.0,190
2129,Kasavanhalli,3,1555.0,3.0,82.5,131
2130,KR Puram,2,1550.0,2.0,71.0,116
2131,Whitefield,2,1190.0,2.0,67.0,226
2132,Chikkalasandra,2,1070.0,2.0,50.0,59
2133,Jalahalli East,2,1020.0,2.0,42.48,113
2134,Yelahanka,3,1610.0,3.0,115.0,228
2135,others,1,700.0,1.0,41.0,232
2136,others,3,1300.0,2.0,49.0,232
2137,Hebbal,3,1069.0,3.0,65.4,92
2138,Marathahalli,3,1900.0,3.0,123.0,162
2139,Old Airport Road,2,1655.0,2.0,97.65,177
2140,Uttarahalli,2,1155.0,2.0,40.42,218
2141,Sarjapur  Road,3,1300.0,2.0,70.0,196
2142,Electronic City,2,1100.0,2.0,45.0,74
2143,Doddathoguru,2,1030.0,2.0,42.0,70
2144,Vittasandra,2,2105.0,2.0,70.2,225
2145,Bhoganhalli,3,1700.0,3.0,126.0,43
2146,Jakkur,3,1760.0,3.0,139.0,111
2147,others,2,1400.0,2.0,67.0,232
2148,others,2,1200.0,2.0,53.0,232
2149,Bannerghatta Road,2,912.0,2.0,55.0,34
2150,Whitefield,2,1102.0,2.0,48.0,226
2151,others,3,1535.0,3.0,55.0,232
2152,Haralur Road,2,1243.0,2.0,46.0,90
2153,Jigani,2,918.0,2.0,63.2,114
2154,Begur Road,3,1500.0,2.0,70.0,39
2155,Kasavanhalli,3,1476.0,3.0,89.0,131
2156,Mysore Road,2,1200.0,2.0,65.0,167
2157,Vijayanagar,1,606.0,1.0,34.78,222
2158,others,2,1100.0,2.0,61.0,232
2159,Garudachar Palya,3,1295.0,2.0,59.5,79
2160,Neeladri Nagar,1,527.0,1.0,26.0,174
2161,OMBR Layout,2,1300.0,2.0,80.0,176
2162,others,1,1260.0,1.0,41.0,232
2163,Koramangala,2,1140.0,2.0,75.2,145
2164,Whitefield,3,2321.0,4.0,128.0,226
2165,Sarjapur  Road,2,1390.0,2.0,62.0,196
2166,Sarjapur  Road,3,1725.0,3.0,90.0,196
2167,Hennur Road,3,1186.0,2.0,63.0,96
2168,Kanakpura Road,2,1230.0,2.0,85.0,128
2169,Yeshwanthpur,3,1313.0,3.0,96.0,231
2170,Ambalipura,2,1250.0,2.0,66.25,12
2171,Binny Pete,1,660.0,1.0,54.0,45
2172,Old Madras Road,2,1100.0,2.0,70.0,178
2173,Devanahalli,2,1564.9842423276207,2.0,46.8,65
2174,Electronics City Phase 1,2,1015.0,2.0,56.0,76
2175,Gottigere,1,812.0,1.0,26.0,82
2176,others,3,1360.0,2.0,65.0,232
2177,Nehru Nagar,3,2167.0,3.0,170.0,175
2178,Raja Rajeshwari Nagar,2,1200.0,2.0,35.0,186
2179,others,2,1165.0,2.0,75.0,232
2180,BTM 2nd Stage,2,1274.0,2.0,70.0,22
2181,Raja Rajeshwari Nagar,2,1151.0,2.0,39.02,186
2182,Thubarahalli,3,1626.0,2.0,120.0,213
2183,Banashankari Stage V,2,1035.0,2.0,35.77,29
2184,others,3,1272.0,4.0,75.0,232
2185,others,2,965.0,2.0,45.0,232
2186,Kothannur,2,1070.0,2.0,42.79,146
2187,Raja Rajeshwari Nagar,3,1570.0,2.0,65.0,186
2188,others,2,780.0,2.0,25.0,232
2189,others,3,1000.0,2.0,65.0,232
2190,5th Phase JP Nagar,3,1700.0,2.0,100.0,4
2191,Haralur Road,3,1850.0,3.0,110.0,90
2192,Kereguddadahalli,2,904.0,2.0,30.0,138
2193,others,2,1121.0,2.0,43.72,232
2194,7th Phase JP Nagar,3,1385.0,2.0,58.17,6
2195,Sahakara Nagar,2,1270.0,2.0,69.85,192
2196,Kanakpura Road,3,1450.0,3.0,56.0,128
2197,Mahadevpura,1,730.0,1.0,35.0,157
2198,Raja Rajeshwari Nagar,3,1580.0,3.0,53.56,186
2199,Thanisandra,2,1111.0,2.0,50.0,211
2200,Varthur,2,977.0,2.0,36.0,219
2201,others,2,674.0,1.0,19.9,232
2202,Sarjapur,4,2540.0,4.0,115.0,195
2203,Jakkur,2,1290.0,2.0,100.0,111
2204,Abbigere,2,795.0,2.0,32.54,10
2205,Kanakpura Road,2,700.0,1.0,35.0,128
2206,others,3,1306.0,2.0,58.0,232
2207,others,3,2401.0,3.0,185.0,232
2208,Bommenahalli,4,1670.0,3.0,135.0,50
2209,others,3,1200.0,3.0,90.0,232
2210,Dodda Nekkundi,3,1804.0,3.0,121.0,67
2211,Hoskote,3,1225.0,3.0,40.0,103
2212,Thanisandra,2,1564.9842423276207,2.0,58.68,211
2213,Bellandur,2,900.0,2.0,56.0,40
2214,Binny Pete,2,1350.0,2.0,91.0,45
2215,Kaggalipura,1,700.0,1.0,36.0,120
2216,Poorna Pragna Layout,2,1160.0,2.0,46.39,182
2217,Hennur Road,3,1680.0,3.0,99.27,96
2218,LB Shastri Nagar,2,1043.0,2.0,55.0,152
2219,Hebbal,2,1040.0,2.0,46.0,92
2220,Tindlu,3,1357.0,2.0,65.0,215
2221,others,2,1225.0,2.0,47.0,232
2222,Yelachenahalli,2,1130.0,2.0,40.0,227
2223,Basavangudi,4,2500.0,4.0,150.0,35
2224,Sultan Palaya,3,1700.0,3.0,120.0,208
2225,Doddathoguru,3,1549.0,3.0,65.0,70
2226,Yeshwanthpur,2,1400.0,2.0,100.0,231
2227,Dodda Nekkundi,2,1080.0,2.0,50.0,67
2228,Haralur Road,2,1225.0,2.0,67.38,90
2229,Abbigere,2,1005.0,2.0,39.59,10
2230,Whitefield,2,1320.0,2.0,95.0,226
2231,Anandapura,4,1475.0,2.0,50.0,15
2232,Kudlu Gate,3,1564.9842423276207,2.0,99.745,149
2233,others,2,1110.0,2.0,51.0,232
2234,others,2,1300.0,2.0,54.0,232
2235,Electronic City,2,1128.0,2.0,65.35,74
2236,Jakkur,2,1452.19,2.0,100.0,111
2237,Banashankari,3,2600.0,4.0,135.0,26
2238,Sanjay nagar,2,630.0,1.0,35.0,193
2239,Hosa Road,2,1243.0,2.0,48.5,101
2240,others,2,960.0,2.0,32.0,232
2241,others,3,1690.0,3.0,100.0,232
2242,Whitefield,2,735.0,2.0,35.0,226
2243,Banaswadi,2,1365.0,2.0,73.0,31
2244,Hebbal,2,1420.0,2.0,99.39,92
2245,Somasundara Palya,3,1570.0,3.0,68.0,204
2246,Bisuvanahalli,2,850.0,1.0,32.0,46
2247,7th Phase JP Nagar,3,1575.0,2.0,110.0,6
2248,Thigalarapalya,2,1418.0,2.0,104.0,212
2249,Uttarahalli,2,1050.0,2.0,42.0,218
2250,Hennur Road,2,1065.0,2.0,42.6,96
2251,Ulsoor,3,1340.0,3.0,90.0,217
2252,Yelahanka New Town,3,1610.0,3.0,92.0,229
2253,Electronic City Phase II,2,1160.0,2.0,33.5,75
2254,Kudlu,2,1092.0,2.0,44.0,148
2255,Yelahanka,3,1455.0,3.0,61.5,228
2256,others,2,799.0,2.0,38.0,232
2257,Whitefield,3,1896.0,3.0,75.0,226
2258,Ardendale,2,1100.0,2.0,48.0,19
2259,Bellandur,2,1350.0,2.0,79.0,40
2260,others,3,1355.0,3.0,61.0,232
2261,others,2,1350.0,2.0,90.0,232
2262,Kasavanhalli,3,1493.0,3.0,82.0,131
2263,8th Phase JP Nagar,2,1098.0,2.0,43.91,7
2264,others,3,1460.0,3.0,88.0,232
2265,Varthur,2,1091.0,2.0,32.0,219
2266,Yelahanka,2,1180.0,2.0,42.0,228
2267,Kanakpura Road,2,1366.0,3.0,76.85,128
2268,others,3,1685.0,3.0,95.0,232
2269,Koramangala,2,1260.0,2.0,100.0,145
2270,Whitefield,3,3010.0,3.0,200.0,226
2271,Whitefield,2,1346.0,2.0,96.17,226
2272,Sarjapur  Road,3,1564.9842423276207,2.0,98.94,196
2273,7th Phase JP Nagar,3,1850.0,3.0,140.0,6
2274,Electronic City,2,755.0,1.0,34.0,74
2275,others,2,1194.0,2.0,46.0,232
2276,others,1,800.0,1.0,52.0,232
2277,Vijayanagar,2,1352.0,2.0,68.0,222
2278,Thanisandra,3,2002.0,3.0,112.0,211
2279,others,4,4000.0,5.0,280.0,232
2280,Kaval Byrasandra,2,1060.0,2.0,45.0,134
2281,Kanakpura Road,3,1419.59,2.0,59.0,128
2282,Raja Rajeshwari Nagar,2,1196.0,2.0,51.15,186
2283,Electronic City,3,1220.0,2.0,35.24,74
2284,Electronics City Phase 1,3,1595.0,3.0,75.0,76
2285,Banashankari,2,1260.0,2.0,75.0,26
2286,Hebbal,2,1100.0,2.0,47.0,92
2287,ISRO Layout,2,1180.0,2.0,52.0,106
2288,Electronic City,4,4000.0,5.0,150.0,74
2289,Akshaya Nagar,3,1662.0,3.0,85.0,11
2290,Ambedkar Nagar,3,1862.0,3.0,119.0,13
2291,Raja Rajeshwari Nagar,2,1419.0,2.0,48.0,186
2292,Whitefield,3,1410.0,3.0,43.71,226
2293,Raja Rajeshwari Nagar,3,1560.0,2.0,62.4,186
2294,Thanisandra,3,1634.0,3.0,78.0,211
2295,Whitefield,3,1150.0,2.0,44.0,226
2296,others,2,1100.0,2.0,53.0,232
2297,Yelahanka,3,1616.0,3.0,65.0,228
2298,Nagavarapalya,2,1392.0,2.0,99.0,173
2299,Jakkur,3,1798.0,3.0,120.0,111
2300,Babusapalaya,3,1675.0,3.0,75.0,24
2301,others,5,2000.0,4.0,103.0,232
2302,Hebbal,3,1700.0,3.0,124.0,92
2303,Hulimavu,2,1248.0,2.0,69.0,105
2304,others,2,1147.0,2.0,54.0,232
2305,Sultan Palaya,2,1100.0,2.0,40.0,208
2306,Vijayanagar,3,1527.0,3.0,115.0,222
2307,Kanakpura Road,1,525.0,1.0,25.0,128
2308,Kaggadasapura,2,1100.0,2.0,58.0,119
2309,Seegehalli,2,1118.0,2.0,37.5,200
2310,Kanakapura,3,1476.0,3.0,75.0,127
2311,others,3,2100.0,3.0,75.0,232
2312,others,3,1215.0,2.0,46.5,232
2313,Ambalipura,2,1332.0,2.0,79.0,12
2314,Hennur Road,2,1350.0,2.0,49.0,96
2315,NGR Layout,2,1105.0,2.0,49.73,168
2316,Kasavanhalli,2,1200.0,2.0,50.0,131
2317,Ramagondanahalli,2,1251.0,2.0,47.4,189
2318,Pai Layout,3,1400.0,2.0,67.0,180
2319,Hegde Nagar,3,1703.0,3.0,113.0,94
2320,NRI Layout,5,2500.0,5.0,130.0,169
2321,Varthur,3,1250.0,3.0,71.0,219
2322,Jigani,2,933.0,2.0,43.0,114
2323,others,1,461.82,1.0,31.7,232
2324,Brookefield,2,1262.0,2.0,75.0,51
2325,Yelahanka,2,915.0,2.0,48.0,228
2326,Panathur,3,1370.0,2.0,61.5,181
2327,Malleshpalya,2,1210.0,2.0,55.0,160
2328,others,3,1500.0,2.0,85.0,232
2329,others,2,1065.0,2.0,50.0,232
2330,Ramamurthy Nagar,3,1515.0,3.0,65.0,190
2331,Sarjapura - Attibele Road,4,1800.0,4.0,110.0,197
2332,Uttarahalli,3,1300.0,2.0,55.0,218
2333,Vijayanagar,2,989.0,2.0,60.0,222
2334,Jakkur,2,1300.0,2.0,85.0,111
2335,Marathahalli,2,1045.0,2.0,60.0,162
2336,others,2,1205.0,2.0,42.18,232
2337,others,2,1260.0,2.0,75.0,232
2338,Bommanahalli,3,1250.0,2.0,42.5,47
2339,others,2,1199.0,2.0,50.0,232
2340,Hennur Road,2,1385.0,2.0,83.09,96
2341,Lakshminarayana Pura,2,1149.0,2.0,75.0,154
2342,Sarjapur  Road,3,2180.0,3.0,170.0,196
2343,Hulimavu,3,1818.0,3.0,135.0,105
2344,others,2,1070.0,2.0,33.0,232
2345,Nagarbhavi,3,1350.0,2.0,54.6,170
2346,Chandapura,2,630.0,1.0,27.0,55
2347,Hoodi,2,1430.0,2.0,113.0,97
2348,Nagavara,3,2430.0,4.0,180.0,172
2349,Sarjapur  Road,2,1084.0,2.0,55.0,196
2350,Hennur Road,3,1186.0,2.0,56.0,96
2351,Kengeri,2,1255.0,2.0,50.0,136
2352,Haralur Road,4,3400.0,5.0,240.0,90
2353,Hosa Road,3,1541.0,3.0,69.84,101
2354,Iblur Village,4,3596.0,5.0,282.0,108
2355,Raja Rajeshwari Nagar,2,1295.0,2.0,70.0,186
2356,7th Phase JP Nagar,3,1370.0,2.0,54.79,6
2357,Electronic City,2,1100.0,2.0,40.0,74
2358,7th Phase JP Nagar,3,1370.0,2.0,54.79,6
2359,JP Nagar,2,1200.0,2.0,62.0,110
2360,Gunjur,4,2000.0,3.0,95.0,85
2361,Sarjapur  Road,3,1220.0,3.0,62.0,196
2362,others,3,1950.0,3.0,130.0,232
2363,Somasundara Palya,2,1178.0,2.0,73.0,204
2364,Dasanapura,3,1286.0,3.0,61.44,63
2365,Begur Road,2,1160.0,2.0,42.0,39
2366,Jigani,2,918.0,2.0,55.0,114
2367,Electronic City,3,1563.0,3.0,91.84,74
2368,others,2,1326.0,2.0,62.17,232
2369,Begur Road,2,1240.0,2.0,39.06,39
2370,Kaggadasapura,2,1325.0,2.0,50.0,119
2371,Sonnenahalli,2,1100.0,2.0,44.0,206
2372,Gollarapalya Hosahalli,3,1605.0,3.0,50.0,81
2373,Somasundara Palya,2,1260.0,2.0,60.0,204
2374,Hoodi,3,1553.0,3.0,83.09,97
2375,Whitefield,2,1280.0,2.0,52.0,226
2376,Hebbal,3,1550.0,2.0,75.0,92
2377,Murugeshpalya,3,1550.0,3.0,74.0,166
2378,Electronics City Phase 1,3,1515.0,2.0,80.91,76
2379,Hosa Road,3,1332.0,2.0,86.12,101
2380,Electronic City,3,1652.0,3.0,70.0,74
2381,Hegde Nagar,3,1570.0,3.0,105.0,94
2382,Sector 2 HSR Layout,1,794.0,1.0,60.0,198
2383,Seegehalli,3,1200.0,2.0,62.0,200
